engine,benchmark,sf,query,storage,n_reps,min_s,avg_power_w,avg_gpu_util,max_mem_mb,num_steady_samples,gpu_energy_j,gpu_energy_derived_j,avg_cpu_pkg_w,cpu_energy_j,cpu_energy_derived_j,total_energy_j,status,source_file
sirius,clickbench,10,q3,gpu,960000,0.001,52.6,0.9,15717.0,741,0.05,0.0526,110.8,0.11,0.1108,0.16,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q30,gpu,40000,0.001,111.6,39.6,15841.0,1334,0.11,0.1116,112.9,0.11,0.1129,0.22,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q31,gpu,40000,0.001,117.8,42.4,15841.0,1356,0.12,0.1178,113.0,0.11,0.113,0.23,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q32,gpu,33917,0.023,72.2,14.7,15841.0,748,1.66,1.6606,110.9,2.55,2.5507,4.21,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q33,gpu,45890,0.016,69.8,9.1,15841.0,758,1.12,1.1168,111.9,1.79,1.7904,2.91,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q34,gpu,42360,0.017,70.7,12.7,15841.0,699,1.2,1.2019,112.1,1.91,1.9057,3.11,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q35,gpu,90000,0.009,65.0,10.3,15829.0,724,0.58,0.585,110.8,1.0,0.9972,1.58,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q36,gpu,17144,0.004,139.4,63.4,15841.0,1197,0.56,0.5576,112.9,0.45,0.4516,1.01,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q37,gpu,17144,0.004,149.1,67.8,15841.0,1236,0.6,0.5964,112.4,0.45,0.4496,1.05,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q38,gpu,40000,0.001,96.5,31.8,15841.0,1300,0.1,0.0965,112.6,0.11,0.1126,0.21,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q39,gpu,15000,0.001,111.5,47.5,15841.0,860,0.11,0.1115,116.5,0.12,0.1165,0.23,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q4,gpu,320000,0.002,56.9,3.6,15821.0,732,0.11,0.1138,110.7,0.22,0.2214,0.33,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q40,gpu,40000,0.002,94.7,30.0,15841.0,1432,0.19,0.1894,112.2,0.22,0.2244,0.41,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q41,gpu,30000,0.002,109.0,37.4,15841.0,939,0.22,0.218,112.1,0.22,0.2242,0.44,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q42,gpu,20000,0.002,115.9,43.1,15841.0,819,0.23,0.2318,112.4,0.22,0.2248,0.45,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q5,gpu,14674,0.044,92.0,26.7,15841.0,731,4.05,4.048,-4676.3,-205.76,-205.7572,-201.71,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q6,gpu,960000,0.001,52.6,1.3,15701.0,707,0.05,0.0526,111.3,0.11,0.1113,0.16,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q7,gpu,60000,0.0,66.9,11.4,15841.0,1008,0.0,0.0,111.2,0.0,0.0,0.0,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q8,gpu,7020,0.076,120.2,43.4,15841.0,714,9.13,9.1352,110.7,8.41,8.4132,17.54,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q9,gpu,6930,0.078,119.1,39.4,15841.0,717,9.29,9.2898,110.6,8.63,8.6268,17.92,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,20,q0,gpu,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,OK,sirius_clickbench_sf20_metrics_summary_20260302_063256.csv
